Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,2318484700,3,7,1,5,3,0
1,1932375400,6,7,6,5,1,0
2,1788797400,2,0,3,1,3,1
3,1747775000,6,5,6,3,1,0
4,1970941700,3,0,3,2,1,1
5,1622397000,4,0,4,3,1,1
6,1911826800,1,5,3,5,0,1
7,1524930400,3,5,1,3,3,0
8,1685437000,5,7,6,6,2,1
9,1872319300,6,6,5,5,3,0
10,1663320400,1,3,1,6,1,1
11,1863200900,5,5,6,4,2,1
12,1622358600,1,0,3,0,0,1
13,1501320500,6,4,3,4,0,0
14,1591976200,1,6,1,4,1,0
15,1450492400,3,0,3,2,1,1
16,1197394800,4,7,2,5,3,0
17,1222772600,1,4,3,4,0,1
18,1572402700,3,2,3,4,1,1
19,1322055400,3,4,5,4,0,1
20,1194490200,5,4,5,1,1,0
21,977763600,5,1,4,0,3,0
22,1162274200,4,0,5,1,3,1
23,1277375600,5,1,4,0,3,0
24,1409341600,4,0,5,0,0,1
25,1194814300,1,7,2,6,2,1
26,1233152600,2,6,3,5,2,1
27,1247213300,3,5,2,4,3,0
28,1496903400,5,0,5,1,1,1
29,1495727000,2,4,3,5,3,1
30,1758530900,3,5,4,4,2,1
31,1446301400,5,1,7,3,3,1
32,1205271600,7,3,5,3,0,0
